tf,anchor_shift,bar_time,currency,S
M30,20,2025.09.26 13:30,USD,76.5298004032
M30,20,2025.09.26 13:30,EUR,36.8502729138
M30,20,2025.09.26 13:30,GBP,63.3835296508
M30,20,2025.09.26 13:30,JPY,50.5911458407
M30,20,2025.09.26 13:30,CHF,40.6748131354
M30,20,2025.09.26 13:30,CAD,56.9481887526
M30,20,2025.09.26 13:30,AUD,30.8874774818
M30,20,2025.09.26 13:30,NZD,44.1347718217
M30,21,2025.09.26 13:00,USD,78.5666091085
M30,21,2025.09.26 13:00,EUR,58.9829903136
M30,21,2025.09.26 13:00,GBP,52.9976131136
M30,21,2025.09.26 13:00,JPY,44.6476269958
M30,21,2025.09.26 13:00,CHF,58.6855042507
M30,21,2025.09.26 13:00,CAD,45.2060549603
M30,21,2025.09.26 13:00,AUD,31.2920644249
M30,21,2025.09.26 13:00,NZD,29.6215368325
M30,22,2025.09.26 12:30,USD,66.7656060846
M30,22,2025.09.26 12:30,EUR,66.8237233460
M30,22,2025.09.26 12:30,GBP,54.6261090490
M30,22,2025.09.26 12:30,JPY,54.3513267695
M30,22,2025.09.26 12:30,CHF,53.8903939236
M30,22,2025.09.26 12:30,CAD,39.6701901963
M30,22,2025.09.26 12:30,AUD,25.3866414414
M30,22,2025.09.26 12:30,NZD,38.4860091897
M30,23,2025.09.26 12:00,USD,59.0448942613
M30,23,2025.09.26 12:00,EUR,74.7205996540
M30,23,2025.09.26 12:00,GBP,58.9184564146
M30,23,2025.09.26 12:00,JPY,51.7237553211
M30,23,2025.09.26 12:00,CHF,43.8317518238
M30,23,2025.09.26 12:00,CAD,47.7000315418
M30,23,2025.09.26 12:00,AUD,30.2238828489
M30,23,2025.09.26 12:00,NZD,33.8366281345
M30,24,2025.09.26 11:30,USD,42.8803032603
M30,24,2025.09.26 11:30,EUR,58.0903203605
M30,24,2025.09.26 11:30,GBP,77.5199199152
M30,24,2025.09.26 11:30,JPY,49.7141170783
M30,24,2025.09.26 11:30,CHF,62.9351715584
M30,24,2025.09.26 11:30,CAD,28.7279477880
M30,24,2025.09.26 11:30,AUD,30.6055375817
M30,24,2025.09.26 11:30,NZD,49.5266824577
M30,25,2025.09.26 11:00,USD,43.9293967098
M30,25,2025.09.26 11:00,EUR,65.6147764137
M30,25,2025.09.26 11:00,GBP,80.2824821398
M30,25,2025.09.26 11:00,JPY,59.2472024796
M30,25,2025.09.26 11:00,CHF,55.2727920179
M30,25,2025.09.26 11:00,CAD,39.3563030327
M30,25,2025.09.26 11:00,AUD,19.2903323254
M30,25,2025.09.26 11:00,NZD,37.0067148811
M30,26,2025.09.26 10:30,USD,67.7125907912
M30,26,2025.09.26 10:30,EUR,63.8304836359
M30,26,2025.09.26 10:30,GBP,65.9772763652
M30,26,2025.09.26 10:30,JPY,46.1694328560
M30,26,2025.09.26 10:30,CHF,39.7689165486
M30,26,2025.09.26 10:30,CAD,55.3359956743
M30,26,2025.09.26 10:30,AUD,30.0869393979
M30,26,2025.09.26 10:30,NZD,31.1183647310
M30,27,2025.09.26 10:00,USD,63.8988483904
M30,27,2025.09.26 10:00,EUR,64.8361581042
M30,27,2025.09.26 10:00,GBP,60.9984006831
M30,27,2025.09.26 10:00,JPY,34.4004797030
M30,27,2025.09.26 10:00,CHF,62.5890561185
M30,27,2025.09.26 10:00,CAD,49.0983491950
M30,27,2025.09.26 10:00,AUD,28.1637845321
M30,27,2025.09.26 10:00,NZD,36.0149232737
M30,28,2025.09.26 09:30,USD,38.0402721124
M30,28,2025.09.26 09:30,EUR,54.7059415997
M30,28,2025.09.26 09:30,GBP,81.4421614614
M30,28,2025.09.26 09:30,JPY,44.5536775533
M30,28,2025.09.26 09:30,CHF,69.2354885120
M30,28,2025.09.26 09:30,CAD,33.4416255595
M30,28,2025.09.26 09:30,AUD,27.5672105987
M30,28,2025.09.26 09:30,NZD,51.0136226032
M30,29,2025.09.26 09:00,USD,47.5621521325
M30,29,2025.09.26 09:00,EUR,62.6316225963
M30,29,2025.09.26 09:00,GBP,65.7854981133
M30,29,2025.09.26 09:00,JPY,30.5568985183
M30,29,2025.09.26 09:00,CHF,69.9074047847
M30,29,2025.09.26 09:00,CAD,25.7186614177
M30,29,2025.09.26 09:00,AUD,44.0775228197
M30,29,2025.09.26 09:00,NZD,53.7602396176
M30,30,2025.09.26 08:30,USD,52.9332464550
M30,30,2025.09.26 08:30,EUR,54.6418351965
M30,30,2025.09.26 08:30,GBP,64.1139424996
M30,30,2025.09.26 08:30,JPY,38.6586298363
M30,30,2025.09.26 08:30,CHF,57.7046894736
M30,30,2025.09.26 08:30,CAD,36.9169419873
M30,30,2025.09.26 08:30,AUD,49.4126225457
M30,30,2025.09.26 08:30,NZD,45.6180920059
M30,31,2025.09.26 08:00,USD,26.7231599530
M30,31,2025.09.26 08:00,EUR,55.7805329172
M30,31,2025.09.26 08:00,GBP,63.9846287801
M30,31,2025.09.26 08:00,JPY,56.4494486734
M30,31,2025.09.26 08:00,CHF,55.5319778994
M30,31,2025.09.26 08:00,CAD,34.0696976243
M30,31,2025.09.26 08:00,AUD,49.8061251970
M30,31,2025.09.26 08:00,NZD,57.6544289557
M30,32,2025.09.26 07:30,USD,26.6843624169
M30,32,2025.09.26 07:30,EUR,60.8201895359
M30,32,2025.09.26 07:30,GBP,52.5819220625
M30,32,2025.09.26 07:30,JPY,62.3121339979
M30,32,2025.09.26 07:30,CHF,56.0109365881
M30,32,2025.09.26 07:30,CAD,35.2011345295
M30,32,2025.09.26 07:30,AUD,51.0106130930
M30,32,2025.09.26 07:30,NZD,55.3787077762
M30,33,2025.09.26 07:00,USD,44.0515757139
M30,33,2025.09.26 07:00,EUR,61.2838770161
M30,33,2025.09.26 07:00,GBP,50.5962688364
M30,33,2025.09.26 07:00,JPY,45.5281922128
M30,33,2025.09.26 07:00,CHF,56.5542062911
M30,33,2025.09.26 07:00,CAD,51.7217896886
M30,33,2025.09.26 07:00,AUD,38.8767008194
M30,33,2025.09.26 07:00,NZD,51.3873894216
M30,34,2025.09.26 06:30,USD,29.2045723431
M30,34,2025.09.26 06:30,EUR,65.6952092997
M30,34,2025.09.26 06:30,GBP,62.8274865236
M30,34,2025.09.26 06:30,JPY,43.8145494093
