sample_time,currency,S_M30,S_H1,S_H4,S_D1,zS_H1,mtf,veto,rank_h1,zmov,zhist,candidata_h1
2025.09.17 23:00,CAD,61.5693060473,57.6248385764,38.3667558440,42.0597033724,0.6373087341,2,0,2,-0.7189161335,-0.8022131587,0
2025.09.17 23:00,AUD,41.5901367019,40.9534280181,24.7690063670,57.3670212130,-0.7561418226,3,0,6,-0.8112230089,-2.1564399315,0
2025.09.17 23:00,NZD,59.6302333616,54.4180664344,28.1203284556,51.3111493617,0.3692763195,3,0,4,-0.5778372982,-0.6522475533,0
2025.09.16 23:00,USD,53.1232978261,47.7297767115,18.1236058645,25.7349102864,-0.2150131644,3,0,4,-1.5993091972,-0.8984599352,0
2025.09.16 23:00,EUR,55.5262506703,60.0403755281,74.2228397719,50.9193330647,0.9509253669,4,0,2,0.2184804247,-0.0584524258,0
2025.09.16 23:00,GBP,34.4751229836,38.8435338425,46.9146446419,56.5039126874,-1.0566304661,3,0,8,1.0321113297,0.7596266733,0
2025.09.16 23:00,JPY,38.0323663214,41.4383288642,57.7628311254,35.5179439488,-0.8108770676,3,0,7,-0.9700353593,-0.4096808509,0
2025.09.16 23:00,CHF,68.4317811708,72.3451073329,80.0000000000,54.5865636203,2.1163082327,4,0,1,-0.4507227392,-0.2386738004,0
2025.09.16 23:00,CAD,50.2949045682,43.1170176887,45.5526602320,50.2819388670,-0.6518882149,2,0,6,1.6573733641,1.4060750320,0
2025.09.16 23:00,AUD,51.3372365634,44.0432363577,37.1386473701,70.6716402079,-0.5641659155,2,0,5,0.5207731001,-0.1248517284,0
2025.09.16 23:00,NZD,48.7790398962,52.4426236743,40.2847709942,55.7837573174,0.2313412289,2,0,3,-0.4086709229,-0.2250244533,0
2025.09.15 23:00,USD,45.9533278113,40.9855986978,34.4719221717,36.5430215560,-0.5797188695,4,0,7,0.7607080846,0.4405572926,0
2025.09.15 23:00,EUR,34.4888148772,47.1397578601,52.4740915322,55.0090188858,-0.1839430356,2,0,5,1.5671713818,0.8398794060,0
2025.09.15 23:00,GBP,55.5300753525,59.3963090792,49.7062879258,50.5254340108,0.6042794739,3,1,2,0.7766652380,0.3716678107,0
2025.09.15 23:00,JPY,25.9850113651,24.6050512506,39.0687880026,30.4051618903,-1.6331568216,4,0,8,-1.4863878482,-0.6215532451,0
2025.09.15 23:00,CHF,42.2995968619,49.1337076438,59.4239324668,57.5421795239,-0.0557115230,2,0,4,-0.1285113053,0.0920148186,0
2025.09.15 23:00,CAD,78.6776039108,81.9547582618,63.8289499619,37.1799415713,2.0550201519,3,0,1,0.0231296181,0.2486743626,0
2025.09.15 23:00,AUD,64.5608123898,54.8986489846,57.7297185601,75.3951402707,0.3150335952,4,0,3,-0.0523120018,-0.6594813651,0
2025.09.15 23:00,NZD,52.5047574315,41.8861682221,43.2963093789,57.4001022913,-0.5218029714,2,0,6,-1.4604631672,-0.7166153877,0
2025.09.12 23:00,USD,50.6026397184,51.6432754776,43.9902719325,26.6025952787,0.1933410009,2,0,4,-1.4369102328,-1.0293685346,0
2025.09.12 23:00,EUR,63.3386348776,64.0358610639,53.0384308377,48.1728204866,1.6514014013,3,0,1,0.1840424768,-0.0665322556,0
2025.09.12 23:00,GBP,37.7456183232,46.4870934402,61.3724420224,50.5830473799,-0.4133140667,2,0,5,0.1426242932,-0.0513320282,0
2025.09.12 23:00,JPY,42.9388098812,39.5011095405,44.5893097952,34.4967457310,-1.2352560586,4,0,7,-1.1034339834,-0.8698444515,0
2025.09.12 23:00,CHF,55.0848249433,57.8504894246,56.1917861394,56.1396151569,0.9236561389,4,0,2,-0.0515055594,0.0981213865,0
2025.09.12 23:00,CAD,37.0592375603,44.4431223742,36.1830873836,32.3443844851,-0.6537992544,4,0,6,-0.5536590644,-0.2708554312,0
2025.09.12 23:00,AUD,62.1543674907,56.8310752000,53.6094851652,79.1755304127,0.8037160746,4,0,3,1.8461031934,1.5835599738,0
2025.09.12 23:00,NZD,51.0758672052,39.2079734791,51.0251867239,72.4852610691,-1.2697452360,1,0,8,0.9727388765,0.8698534603,0
2025.09.11 23:00,USD,39.3621379509,27.8975310725,28.0446557474,43.3551019015,-1.6021243590,4,0,8,-0.1034656261,-0.0738230832,0
2025.09.11 23:00,EUR,47.6245403614,45.2013040215,44.7368973454,39.2028972021,-0.3478393180,4,0,5,-0.3638893915,-0.7846423643,0
2025.09.11 23:00,GBP,46.9927978990,51.0181490993,52.4588854608,49.5054072342,0.0738017766,2,0,4,0.1613933014,-0.0838660530,0
2025.09.11 23:00,JPY,41.0004785769,52.9246622084,50.8738689626,41.8291992272,0.2119976995,2,0,3,-0.4446922924,-0.2550638618,0
2025.09.11 23:00,CHF,40.5698494672,37.6924989206,39.1261913633,47.7247561665,-0.8921241940,4,0,7,-1.3383453209,-1.5081462985,0
2025.09.11 23:00,CAD,57.2584635391,45.0035013874,33.0751182683,28.7213377182,-0.3621772827,3,0,6,-0.8503242706,-0.6383217674,0
2025.09.11 23:00,AUD,64.8034322857,67.4412452379,80.8327811663,81.3187947429,1.2642498871,4,0,2,2.1017413702,2.6334257234,0
2025.09.11 23:00,NZD,62.3882999198,72.8211080525,70.8516016858,68.3425058075,1.6542157905,4,0,1,0.8375822300,0.8862444953,0
