tf,shift,bar_time,pair,ifm_light
M30,361,2026.07.01 11:00,EURGBP,20.0000000000
M30,361,2026.07.01 11:00,EURJPY,20.0000000000
M30,361,2026.07.01 11:00,EURNZD,20.0000000000
M30,361,2026.07.01 11:00,EURUSD,20.0000000000
M30,361,2026.07.01 11:00,GBPAUD,70.0000000000
M30,361,2026.07.01 11:00,GBPCAD,86.6666666667
M30,361,2026.07.01 11:00,GBPCHF,86.6666666667
M30,361,2026.07.01 11:00,GBPJPY,63.3333333333
M30,361,2026.07.01 11:00,GBPNZD,50.0000000000
M30,361,2026.07.01 11:00,GBPUSD,70.0000000000
M30,361,2026.07.01 11:00,NZDCAD,86.6666666667
M30,361,2026.07.01 11:00,NZDCHF,86.6666666667
M30,361,2026.07.01 11:00,NZDJPY,63.3333333333
M30,361,2026.07.01 11:00,NZDUSD,63.3333333333
M30,361,2026.07.01 11:00,USDCAD,70.0000000000
M30,361,2026.07.01 11:00,USDCHF,73.3333333333
M30,361,2026.07.01 11:00,USDJPY,33.3333333333
M30,401,2026.06.30 15:00,AUDCAD,50.0000000000
M30,401,2026.06.30 15:00,AUDCHF,50.0000000000
M30,401,2026.06.30 15:00,AUDJPY,60.0000000000
M30,401,2026.06.30 15:00,AUDNZD,50.0000000000
M30,401,2026.06.30 15:00,AUDUSD,46.6666666667
M30,401,2026.06.30 15:00,CADCHF,63.3333333333
M30,401,2026.06.30 15:00,CADJPY,73.3333333333
M30,401,2026.06.30 15:00,CHFJPY,86.6666666667
M30,401,2026.06.30 15:00,EURAUD,56.6666666667
M30,401,2026.06.30 15:00,EURCAD,30.0000000000
M30,401,2026.06.30 15:00,EURCHF,30.0000000000
M30,401,2026.06.30 15:00,EURGBP,80.0000000000
M30,401,2026.06.30 15:00,EURJPY,73.3333333333
M30,401,2026.06.30 15:00,EURNZD,40.0000000000
M30,401,2026.06.30 15:00,EURUSD,30.0000000000
M30,401,2026.06.30 15:00,GBPAUD,20.0000000000
M30,401,2026.06.30 15:00,GBPCAD,20.0000000000
M30,401,2026.06.30 15:00,GBPCHF,20.0000000000
M30,401,2026.06.30 15:00,GBPJPY,50.0000000000
M30,401,2026.06.30 15:00,GBPNZD,20.0000000000
M30,401,2026.06.30 15:00,GBPUSD,20.0000000000
M30,401,2026.06.30 15:00,NZDCAD,50.0000000000
M30,401,2026.06.30 15:00,NZDCHF,56.6666666667
M30,401,2026.06.30 15:00,NZDJPY,76.6666666667
M30,401,2026.06.30 15:00,NZDUSD,50.0000000000
M30,401,2026.06.30 15:00,USDCAD,50.0000000000
M30,401,2026.06.30 15:00,USDCHF,53.3333333333
M30,401,2026.06.30 15:00,USDJPY,83.3333333333
M30,441,2026.06.29 19:00,AUDCAD,43.3333333333
M30,441,2026.06.29 19:00,AUDCHF,36.6666666667
M30,441,2026.06.29 19:00,AUDJPY,46.6666666667
M30,441,2026.06.29 19:00,AUDNZD,23.3333333333
M30,441,2026.06.29 19:00,AUDUSD,46.6666666667
M30,441,2026.06.29 19:00,CADCHF,36.6666666667
M30,441,2026.06.29 19:00,CADJPY,53.3333333333
M30,441,2026.06.29 19:00,CHFJPY,76.6666666667
M30,441,2026.06.29 19:00,EURAUD,63.3333333333
M30,441,2026.06.29 19:00,EURCAD,56.6666666667
M30,441,2026.06.29 19:00,EURCHF,63.3333333333
M30,441,2026.06.29 19:00,EURGBP,33.3333333333
M30,441,2026.06.29 19:00,EURJPY,76.6666666667
M30,441,2026.06.29 19:00,EURNZD,56.6666666667
M30,441,2026.06.29 19:00,EURUSD,76.6666666667
M30,441,2026.06.29 19:00,GBPAUD,63.3333333333
M30,441,2026.06.29 19:00,GBPCAD,63.3333333333
M30,441,2026.06.29 19:00,GBPCHF,60.0000000000
M30,441,2026.06.29 19:00,GBPJPY,76.6666666667
M30,441,2026.06.29 19:00,GBPNZD,56.6666666667
M30,441,2026.06.29 19:00,GBPUSD,76.6666666667
M30,441,2026.06.29 19:00,NZDCAD,66.6666666667
M30,441,2026.06.29 19:00,NZDCHF,46.6666666667
M30,441,2026.06.29 19:00,NZDJPY,73.3333333333
M30,441,2026.06.29 19:00,NZDUSD,46.6666666667
M30,441,2026.06.29 19:00,USDCAD,46.6666666667
M30,441,2026.06.29 19:00,USDCHF,23.3333333333
M30,441,2026.06.29 19:00,USDJPY,66.6666666667
M30,481,2026.06.26 23:00,AUDCAD,36.6666666667
M30,481,2026.06.26 23:00,AUDCHF,53.3333333333
M30,481,2026.06.26 23:00,AUDJPY,33.3333333333
M30,481,2026.06.26 23:00,AUDNZD,46.6666666667
M30,481,2026.06.26 23:00,AUDUSD,46.6666666667
M30,481,2026.06.26 23:00,CADCHF,56.6666666667
M30,481,2026.06.26 23:00,CADJPY,63.3333333333
M30,481,2026.06.26 23:00,CHFJPY,46.6666666667
M30,481,2026.06.26 23:00,EURAUD,53.3333333333
M30,481,2026.06.26 23:00,EURCAD,43.3333333333
M30,481,2026.06.26 23:00,EURCHF,33.3333333333
M30,481,2026.06.26 23:00,EURGBP,46.6666666667
M30,481,2026.06.26 23:00,EURJPY,46.6666666667
M30,481,2026.06.26 23:00,EURNZD,46.6666666667
M30,481,2026.06.26 23:00,EURUSD,46.6666666667
