tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,9,2025.09.30 19:30,JPY,3.3161027453,-3.0242998820,0.1067950396,0.6035480003,0.7142857143
M30,9,2025.09.30 19:30,CHF,37.5729635040,24.4927681787,1.4547883590,1.7361920190,1.0000000000
M30,9,2025.09.30 19:30,CAD,-17.7278535735,-21.8595378071,-0.6240630803,-1.3703135550,0.8571428571
M30,9,2025.09.30 19:30,AUD,-20.6348876266,-28.2432139792,-0.6725375357,0.1028519015,0.4285714286
M30,9,2025.09.30 19:30,NZD,-20.8232338145,-36.3482110932,-0.7272727871,-0.3771240882,0.7142857143
M30,10,2025.09.30 19:00,USD,-28.7564383373,-50.5429501960,-0.6642895084,-0.6866437824,0.7142857143
M30,10,2025.09.30 19:00,EUR,21.3708489793,40.4834026692,1.0372113172,0.3548824447,0.7142857143
M30,10,2025.09.30 19:00,GBP,17.7659306747,29.2451122791,0.6178720617,0.1326004723,0.4285714286
M30,10,2025.09.30 19:00,JPY,-7.8172923721,-6.4255659463,-0.2327594094,0.8088307992,0.8571428571
M30,10,2025.09.30 19:00,CHF,38.1815885351,30.6644122202,1.4865521591,1.6437434397,1.0000000000
M30,10,2025.09.30 19:00,CAD,-26.1925299005,-33.5774312051,-0.9028010673,-1.7961476575,1.0000000000
M30,10,2025.09.30 19:00,AUD,-13.7883124619,-21.5805851006,-0.4496795317,0.3622155781,0.4285714286
M30,10,2025.09.30 19:00,NZD,-0.7637951173,11.7336052795,-0.0260735993,-0.8194812940,0.7142857143
M30,11,2025.09.30 18:30,USD,11.3209714200,8.4110037428,0.2640802853,0.9594076795,0.8571428571
M30,11,2025.09.30 18:30,EUR,11.4627896824,31.7923771707,0.5368872323,-0.6315244273,0.7142857143
M30,11,2025.09.30 18:30,GBP,-1.2953971128,6.0119155390,-0.0448285895,-0.0063176345,0.2857142857
M30,11,2025.09.30 18:30,JPY,-20.4222464673,-32.7637204775,-0.6161140706,-0.6305787554,0.8571428571
M30,11,2025.09.30 18:30,CHF,15.7797165896,0.6792212831,0.6069266844,1.6934086501,1.0000000000
M30,11,2025.09.30 18:30,CAD,-15.0170754480,-29.2262220938,-0.5201102646,-1.8133656277,1.0000000000
M30,11,2025.09.30 18:30,AUD,-12.6401681570,-1.0934360609,-0.4015568567,0.0819918743,0.4285714286
M30,11,2025.09.30 18:30,NZD,10.8114094931,16.1888608966,0.3748582261,0.3469782410,0.5714285714
M30,12,2025.09.30 18:00,USD,27.6579763912,44.5048040349,0.6377905740,1.0124343539,0.8571428571
M30,12,2025.09.30 18:00,EUR,-6.6509498989,9.4029896030,-0.3220392058,-1.6561218431,1.0000000000
M30,12,2025.09.30 18:00,GBP,-0.2781278585,-16.7492303870,-0.0098685244,1.4324783282,1.0000000000
M30,12,2025.09.30 18:00,JPY,8.5420617613,31.2536290605,0.2528245874,0.8626503970,0.7142857143
M30,12,2025.09.30 18:00,CHF,-11.8258812086,-39.8107035574,-0.4628016872,-0.6830248444,0.7142857143
M30,12,2025.09.30 18:00,CAD,6.2104601911,19.7387404555,0.2137624603,-0.9825194089,0.7142857143
M30,12,2025.09.30 18:00,AUD,-16.2984330892,-22.7742552006,-0.5116614568,-0.0382832313,0.7142857143
M30,12,2025.09.30 18:00,NZD,-7.3571062884,-25.5659740088,-0.2532871705,0.0523862486,0.5714285714
M30,13,2025.09.30 17:30,USD,-18.1282573760,-30.4634858674,-0.4440690966,-1.5096139142,0.8571428571
M30,13,2025.09.30 17:30,EUR,-6.5238323703,12.5205765645,-0.3007718167,-0.5207652676,0.7142857143
M30,13,2025.09.30 17:30,GBP,15.9580929479,8.7439656976,0.5641990115,1.0697296730,0.8571428571
M30,13,2025.09.30 17:30,JPY,-3.0863054858,8.6510886022,-0.0910823121,0.7478828366,0.7142857143
M30,13,2025.09.30 17:30,CHF,12.7478586548,1.1428202592,0.5310953926,0.7743824847,0.8571428571
M30,13,2025.09.30 17:30,CAD,-15.0647521026,-19.2033135835,-0.5264163398,-1.5633795297,1.0000000000
M30,13,2025.09.30 17:30,AUD,7.3397953161,14.1813271383,0.2348266968,0.8176072888,0.7142857143
M30,13,2025.09.30 17:30,NZD,6.7574004159,4.4270211891,0.2328538067,0.1841564285,0.4285714286
M30,14,2025.09.30 17:00,USD,-31.5851370570,-69.8444211881,-0.7736563086,-1.5658297479,1.0000000000
M30,14,2025.09.30 17:00,EUR,-11.1631262753,-5.9953637314,-0.5151179314,-0.8978312308,0.8571428571
M30,14,2025.09.30 17:00,GBP,0.6903017864,1.3287849242,0.0269776005,-0.7902442349,0.5714285714
M30,14,2025.09.30 17:00,JPY,-7.6642816813,4.8485438375,-0.2274453921,0.2874619943,0.5714285714
M30,14,2025.09.30 17:00,CHF,26.9307253734,39.1225195613,1.1215471794,1.0176192694,0.8571428571
M30,14,2025.09.30 17:00,CAD,22.5394878740,20.5658073216,0.9724727245,1.1638541401,0.7142857143
M30,14,2025.09.30 17:00,AUD,-4.7083731632,-9.4763379567,-0.1502705700,1.2100305288,1.0000000000
