tf,bar_time,currency,S,vel3,vel6,vel12,acel6,pers12,efic12
M30,2026.06.26 22:30,JPY,42.3809523810,-15.2380952381,-12.3809523810,9.0476190476,-33.8095238095,0.4166666667,0.0788381743
M30,2026.06.26 22:30,CHF,47.1428571429,2.3809523810,15.2380952381,-19.5238095238,50.0000000000,0.5000000000,0.1673469388
M30,2026.06.26 22:30,CAD,80.0000000000,16.1904761905,25.2380952381,36.1904761905,14.2857142857,0.5833333333,0.5205479452
M30,2026.06.26 22:30,AUD,52.3809523810,8.5714285714,-16.6666666667,-13.3333333333,-20.0000000000,0.5833333333,0.1458333333
M30,2026.06.26 22:30,NZD,45.7142857143,20.4761904762,23.3333333333,2.8571428571,43.8095238095,0.5000000000,0.0326086957
H1,2026.06.26 22:00,USD,55.2380952381,-4.7619047619,30.4761904762,17.1428571429,43.8095238095,0.5000000000,0.1208053691
H1,2026.06.26 22:00,EUR,48.5714285714,-4.2857142857,-15.7142857143,-30.0000000000,-1.4285714286,0.5000000000,0.3014354067
H1,2026.06.26 22:00,GBP,32.8571428571,-24.2857142857,-23.8095238095,-22.3809523810,-25.2380952381,0.5000000000,0.1660777385
H1,2026.06.26 22:00,JPY,40.4761904762,-6.6666666667,8.5714285714,-16.6666666667,33.8095238095,0.4166666667,0.1794871795
H1,2026.06.26 22:00,CHF,47.1428571429,10.9523809524,-22.8571428571,-23.8095238095,-21.9047619048,0.4545454545,0.1908396947
H1,2026.06.26 22:00,CAD,79.0476190476,20.4761904762,32.8571428571,43.3333333333,22.3809523810,0.5833333333,0.3486590038
H1,2026.06.26 22:00,AUD,56.6666666667,-2.8571428571,-0.9523809524,31.4285714286,-33.3333333333,0.4000000000,0.3055555556
H1,2026.06.26 22:00,NZD,40.0000000000,11.4285714286,-8.5714285714,0.9523809524,-18.0952380952,0.4166666667,0.0097087379
H4,2026.06.26 16:00,USD,56.1904761905,9.0476190476,7.1428571429,-3.8095238095,18.0952380952,0.5833333333,0.0317460317
H4,2026.06.26 16:00,EUR,52.3809523810,1.9047619048,12.3809523810,2.3809523810,22.3809523810,0.5833333333,0.0199203187
H4,2026.06.26 16:00,GBP,61.9047619048,5.7142857143,7.1428571429,21.9047619048,-7.6190476190,0.5000000000,0.2233009709
