tf,anchor_shift,bar_time,pair,ifm_light
M30,8,2025.09.26 19:30,AUDJPY,74.9193868641
M30,8,2025.09.26 19:30,AUDNZD,78.3115161127
M30,8,2025.09.26 19:30,AUDUSD,74.2864641689
M30,8,2025.09.26 19:30,CADCHF,53.7309716551
M30,8,2025.09.26 19:30,CADJPY,53.6653500441
M30,8,2025.09.26 19:30,CHFJPY,41.1191122663
M30,8,2025.09.26 19:30,EURAUD,24.4834258194
M30,8,2025.09.26 19:30,EURCAD,46.9260499178
M30,8,2025.09.26 19:30,EURCHF,64.1475262931
M30,8,2025.09.26 19:30,EURGBP,50.3057466922
M30,8,2025.09.26 19:30,EURJPY,52.7186203454
M30,8,2025.09.26 19:30,EURNZD,31.6722960519
M30,8,2025.09.26 19:30,EURUSD,70.0537844930
M30,8,2025.09.26 19:30,GBPAUD,38.6020623119
M30,8,2025.09.26 19:30,GBPCAD,49.2704675844
M30,8,2025.09.26 19:30,GBPCHF,57.4332178634
M30,8,2025.09.26 19:30,GBPJPY,50.1808517528
M30,8,2025.09.26 19:30,GBPNZD,46.1315372747
M30,8,2025.09.26 19:30,GBPUSD,50.5275164316
M30,8,2025.09.26 19:30,NZDCAD,54.4796916248
M30,8,2025.09.26 19:30,NZDCHF,63.9677141935
M30,8,2025.09.26 19:30,NZDJPY,62.5904617170
M30,8,2025.09.26 19:30,NZDUSD,75.4557188934
M30,8,2025.09.26 19:30,USDCAD,25.3939450235
M30,8,2025.09.26 19:30,USDCHF,44.1356042662
M30,8,2025.09.26 19:30,USDJPY,43.1635511634
M30,9,2025.09.26 19:00,AUDCAD,83.3333333333
M30,9,2025.09.26 19:00,AUDCHF,75.5759111789
M30,9,2025.09.26 19:00,AUDJPY,79.0582481165
M30,9,2025.09.26 19:00,AUDNZD,60.1501400131
M30,9,2025.09.26 19:00,AUDUSD,80.8406407277
M30,9,2025.09.26 19:00,CADCHF,24.1420396081
M30,9,2025.09.26 19:00,CADJPY,39.9502300114
M30,9,2025.09.26 19:00,CHFJPY,60.7776335814
M30,9,2025.09.26 19:00,EURAUD,19.1891338658
M30,9,2025.09.26 19:00,EURCAD,67.6791178537
M30,9,2025.09.26 19:00,EURCHF,40.0037102719
M30,9,2025.09.26 19:00,EURGBP,25.2655120643
M30,9,2025.09.26 19:00,EURJPY,52.0641818374
M30,9,2025.09.26 19:00,EURNZD,36.0274163695
M30,9,2025.09.26 19:00,EURUSD,69.7693655961
M30,9,2025.09.26 19:00,GBPAUD,55.5706361584
M30,9,2025.09.26 19:00,GBPCAD,76.0138327359
M30,9,2025.09.26 19:00,GBPCHF,73.7581179213
M30,9,2025.09.26 19:00,GBPJPY,81.4763126138
M30,9,2025.09.26 19:00,GBPNZD,52.7709200481
M30,9,2025.09.26 19:00,GBPUSD,73.5400582848
M30,9,2025.09.26 19:00,NZDCAD,80.0000000000
M30,9,2025.09.26 19:00,NZDCHF,52.9422527981
M30,9,2025.09.26 19:00,NZDJPY,65.3419430800
M30,9,2025.09.26 19:00,NZDUSD,79.0487965600
M30,9,2025.09.26 19:00,USDCAD,43.5095057367
M30,9,2025.09.26 19:00,USDCHF,22.8083250389
M30,9,2025.09.26 19:00,USDJPY,42.5903827140
M30,10,2025.09.26 18:30,AUDCAD,76.6666666667
M30,10,2025.09.26 18:30,AUDCHF,72.3571648492
M30,10,2025.09.26 18:30,AUDJPY,60.6382915063
M30,10,2025.09.26 18:30,AUDNZD,85.9928857561
M30,10,2025.09.26 18:30,AUDUSD,60.7017559929
