tf,metrica,limiar,split,n_eventos,deteccao_pct,lat_mediana_min,lat_ic95,consumido_mediano_pct,captura_mediana_pct,precisao_pct,falsos_por_semana
M15,zmov,3.0,validacao,39,0.0,,—,,,0.0,0.0
M15,zhist,1.0,treino,41,24.4,150.0,"[30,360]",16.7,83.3,1.3,12.04
M15,zhist,1.0,validacao,39,35.9,210.0,"[90,450]",22.8,77.2,0.6,12.04
M15,zhist,1.5,treino,41,22.0,90.0,"[30,510]",32.0,68.0,1.4,6.69
M15,zhist,1.5,validacao,39,23.1,240.0,"[30,660]",33.0,67.0,0.9,7.0
M15,zhist,2.0,treino,41,12.2,210.0,"[60,600]",28.1,71.9,1.2,3.88
M15,zhist,2.0,validacao,39,10.3,150.0,—,26.4,73.6,0.9,4.0
M15,zhist,2.5,treino,41,4.9,300.0,—,17.5,82.5,1.1,2.18
M15,zhist,2.5,validacao,39,7.7,270.0,—,33.2,66.8,0.4,2.25
M15,zhist,3.0,treino,41,4.9,360.0,—,14.4,85.6,1.0,1.36
M15,zhist,3.0,validacao,39,2.6,0.0,—,3.5,96.5,0.5,1.27
M15,vel,17.87,treino,41,85.4,30.0,"[30,45]",8.4,91.6,1.4,72.23
M15,vel,17.87,validacao,39,71.8,15.0,"[15,38]",5.9,94.1,0.9,72.04
M15,vel,25.78,treino,41,73.2,45.0,"[22,45]",10.9,89.1,1.8,33.25
M15,vel,25.78,validacao,39,69.2,45.0,"[30,60]",12.6,87.4,1.0,33.75
M15,vel,30.87,treino,41,56.1,45.0,"[15,45]",11.0,89.0,1.9,17.72
M15,vel,30.87,validacao,39,59.0,45.0,"[30,136]",14.2,85.8,1.2,17.59
M15,acel,29.61,treino,41,87.8,45.0,"[38,45]",10.9,89.1,1.5,75.35
M15,acel,29.61,validacao,39,74.4,30.0,"[15,45]",5.7,94.3,0.8,74.58
M15,acel,42.57,treino,41,70.7,45.0,"[30,60]",13.5,86.5,1.7,34.25
M15,acel,42.57,validacao,39,61.5,45.0,"[30,112]",8.5,91.5,1.0,34.86
M15,acel,50.66,treino,41,53.7,45.0,"[15,60]",11.2,88.8,1.7,18.17
M15,acel,50.66,validacao,39,53.8,60.0,"[30,255]",13.5,86.5,1.0,18.64
M15,cesta,5.0,treino,41,80.5,45.0,"[30,83]",7.3,92.7,1.2,125.14
M15,cesta,5.0,validacao,39,74.4,30.0,"[15,120]",6.7,93.3,0.8,122.72
M15,cesta,6.0,treino,41,82.9,45.0,"[22,60]",7.0,93.0,1.7,98.84
M15,cesta,6.0,validacao,39,74.4,45.0,"[30,136]",6.7,93.3,1.1,98.77
M15,cesta,7.0,treino,41,92.7,45.0,"[30,75]",9.8,90.2,2.7,58.27
M15,cesta,7.0,validacao,39,71.8,30.0,"[15,82]",7.2,92.8,1.6,58.2
M30,zvel,1.0,treino,284,65.5,60.0,"[60,90]",18.3,81.7,1.7,15.14
M30,zvel,1.0,validacao,39,59.0,90.0,"[90,120]",20.0,80.0,1.1,14.09
M30,zvel,1.5,treino,284,15.1,90.0,"[60,120]",26.1,73.9,2.4,1.96
M30,zvel,1.5,validacao,39,7.7,90.0,—,24.1,75.9,1.3,1.65
M30,zvel,2.0,treino,284,1.1,30.0,—,32.6,67.4,3.6,0.11
M30,zvel,2.0,validacao,39,2.6,120.0,—,35.3,64.7,3.6,0.08
M30,zvel,2.5,treino,284,0.4,30.0,—,42.0,58.0,20.0,0.0
M30,zvel,2.5,validacao,39,0.0,,—,,,0.0,0.0
M30,zvel,3.0,treino,284,0.0,,—,,,0.0,0.0
M30,zvel,3.0,validacao,39,0.0,,—,,,0.0,0.0
M30,zs,1.0,treino,284,91.2,30.0,"[30,30]",10.8,89.2,2.0,43.5
M30,zs,1.0,validacao,39,82.1,15.0,"[0,30]",8.2,91.8,1.5,41.26
M30,zs,1.5,treino,284,83.8,90.0,"[60,90]",16.5,83.5,3.7,21.57
M30,zs,1.5,validacao,39,71.8,30.0,"[0,75]",14.2,85.8,2.7,20.71
M30,zs,2.0,treino,284,27.8,150.0,"[90,210]",21.6,78.4,4.9,4.14
M30,zs,2.0,validacao,39,41.0,90.0,"[30,270]",27.3,72.7,4.6,3.84
M30,zs,2.5,treino,284,0.0,,—,,,2.8,0.04
M30,zs,2.5,validacao,39,2.6,60.0,—,42.4,57.6,4.8,0.06
M30,zs,3.0,treino,284,0.0,,—,,,0.0,0.0
M30,zs,3.0,validacao,39,0.0,,—,,,0.0,0.0
M30,zmov,1.0,treino,284,27.5,75.0,"[60,120]",11.8,88.2,0.9,14.8
M30,zmov,1.0,validacao,39,30.8,60.0,"[0,210]",15.1,84.9,0.6,13.76
M30,zmov,1.5,treino,284,20.8,120.0,"[60,210]",18.2,81.8,1.2,7.99
M30,zmov,1.5,validacao,39,17.9,90.0,"[0,210]",9.7,90.3,1.2,7.43
M30,zmov,2.0,treino,284,7.4,60.0,"[30,150]",24.6,75.4,1.3,2.74
M30,zmov,2.0,validacao,39,10.3,270.0,—,30.4,69.6,1.5,2.25
M30,zmov,2.5,treino,284,0.7,240.0,—,29.3,70.7,0.7,0.18
M30,zmov,2.5,validacao,39,5.1,165.0,—,39.7,60.3,7.8,0.15
M30,zmov,3.0,treino,284,0.0,,—,,,0.0,0.0
M30,zmov,3.0,validacao,39,0.0,,—,,,0.0,0.0
M30,zhist,1.0,treino,284,28.9,90.0,"[60,135]",12.8,87.2,1.0,13.39
M30,zhist,1.0,validacao,39,35.9,210.0,"[90,450]",22.8,77.2,0.6,12.05
M30,zhist,1.5,treino,284,21.5,90.0,"[60,120]",13.0,87.0,1.2,7.72
M30,zhist,1.5,validacao,39,23.1,240.0,"[30,660]",33.0,67.0,0.9,7.01
M30,zhist,2.0,treino,284,13.0,150.0,"[60,270]",16.6,83.4,1.3,4.28
M30,zhist,2.0,validacao,39,10.3,150.0,—,26.4,73.6,0.9,3.99
M30,zhist,2.5,treino,284,7.4,240.0,"[74,390]",11.3,88.7,1.2,2.32
M30,zhist,2.5,validacao,39,7.7,270.0,—,33.2,66.8,0.4,2.25
M30,zhist,3.0,treino,284,4.2,225.0,"[45,405]",5.4,94.6,1.0,1.34
M30,zhist,3.0,validacao,39,2.6,0.0,—,3.5,96.5,0.5,1.28
M30,vel,18.13,treino,284,86.6,30.0,"[30,60]",11.1,88.9,1.3,37.57
M30,vel,18.13,validacao,39,79.5,60.0,"[30,90]",12.0,88.0,1.0,35.29
M30,vel,26.02,treino,284,69.7,60.0,"[30,60]",16.8,83.2,1.6,17.32
M30,vel,26.02,validacao,39,69.2,90.0,"[60,120]",17.4,82.6,1.3,16.23
M30,vel,31.01,treino,284,54.9,60.0,"[60,90]",18.9,81.1,2.0,9.25
M30,vel,31.01,validacao,39,41.0,120.0,"[75,195]",23.1,76.9,1.4,8.41
M30,acel,30.1,treino,284,81.3,60.0,"[60,60]",13.0,87.0,1.2,39.18
M30,acel,30.1,validacao,39,82.1,90.0,"[30,105]",11.2,88.8,1.0,36.62
M30,acel,43.0,treino,284,57.4,90.0,"[60,90]",18.2,81.8,1.4,17.99
M30,acel,43.0,validacao,39,53.8,120.0,"[90,150]",20.4,79.6,1.1,16.46
M30,acel,51.14,treino,284,38.0,90.0,"[82,120]",21.6,78.4,1.5,9.59
M30,acel,51.14,validacao,39,25.6,135.0,"[90,495]",33.5,66.5,1.1,8.62
M30,cesta,5.0,treino,284,84.5,0.0,"[0,30]",8.1,91.9,0.9,65.05
M30,cesta,5.0,validacao,39,76.9,0.0,"[0,30]",6.0,94.0,0.7,61.34
M30,cesta,6.0,treino,284,89.1,30.0,"[14,30]",10.2,89.8,1.4,52.3
M30,cesta,6.0,validacao,39,76.9,0.0,"[0,30]",6.8,93.2,1.1,49.48
M30,cesta,7.0,treino,284,90.5,60.0,"[30,60]",14.7,85.3,2.7,30.59
M30,cesta,7.0,validacao,39,74.4,30.0,"[0,30]",9.4,90.6,2.0,28.69
M30,mtf,2.0,treino,284,62.0,30.0,"[30,30]",9.5,90.5,0.6,34.47
M30,mtf,2.0,validacao,39,66.7,30.0,"[30,30]",8.4,91.6,0.5,33.85
M30,mtf,3.0,treino,284,66.5,60.0,"[30,90]",14.0,86.0,1.0,26.91
M30,mtf,3.0,validacao,39,69.2,30.0,"[30,150]",12.6,87.4,0.7,26.07
M30,mtf,4.0,treino,284,34.9,30.0,"[30,60]",10.2,89.8,1.1,17.15
M30,mtf,4.0,validacao,39,28.2,30.0,"[30,120]",9.7,90.3,0.7,11.9
M30,candidata,0.5,treino,284,0.7,45.0,—,27.2,72.8,3.9,0.09
M30,candidata,0.5,validacao,39,2.6,120.0,—,35.3,64.7,4.8,0.06
H1,zvel,1.0,treino,284,48.6,180.0,"[150,210]",26.4,73.6,2.4,7.44
H1,zvel,1.0,validacao,39,46.2,135.0,"[75,180]",26.1,73.9,2.0,7.26
H1,zvel,1.5,treino,284,7.7,195.0,"[165,300]",35.1,64.9,3.4,0.88
H1,zvel,1.5,validacao,39,15.4,150.0,"[60,225]",27.1,72.9,3.7,0.73
H1,zvel,2.0,treino,284,0.0,,—,,,2.8,0.04
H1,zvel,2.0,validacao,39,0.0,,—,,,0.0,0.04
H1,zvel,2.5,treino,284,0.0,,—,,,0.0,0.0
